time_entry,time_exit,symbol,side,entry,exit,pnl_pct,reason,profile_run,risk_perc_run,R_multiple,account_pnl_pct,account_pnl_usd,equity_before,equity_after,qty,notional_usd,time_limit_applied,time_limit_minutes,unrealized_pct_at_90m,be_armed,leg,leg_fraction
2025-08-18 08:44:59,2025-08-18 10:14:59,ETHUSDT,LONG,4267.800000,4285.110000,0.4056,ExitD_TimeMax_Profit,SAFE,100.00,0.0676,6.7599,2311.84,34199.17,36511.01,133.555038,569986.19,True,90,,False,FULL,1.00
2025-08-18 10:15:59,2025-08-18 11:45:59,ETHUSDT,LONG,4290.930000,4290.930000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,36511.01,36511.01,141.814670,608516.82,True,90,,False,FULL,1.00
2025-08-18 11:46:59,2025-08-18 13:16:59,ETHUSDT,LONG,4268.160000,4331.660000,1.4878,ExitD_TimeMax_Profit,SAFE,100.00,0.2480,24.7960,9053.27,36511.01,45564.28,142.571230,608516.82,True,90,,False,FULL,1.00
2025-08-18 13:17:59,2025-08-18 14:47:59,ETHUSDT,LONG,4333.120000,4333.120000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,45564.28,45564.28,175.255868,759404.71,True,90,,False,FULL,1.00
2025-08-18 14:48:59,2025-08-18 16:18:59,ETHUSDT,LONG,4293.410000,4332.590000,0.9126,ExitD_TimeMax_Profit,SAFE,100.00,0.1521,15.2094,6930.03,45564.28,52494.32,176.876820,759404.71,True,90,,False,FULL,1.00
2025-08-18 16:19:59,2025-08-18 17:49:59,ETHUSDT,LONG,4334.510000,4349.980000,0.3569,ExitD_TimeMax_Profit,SAFE,100.00,0.0595,5.9484,3122.56,52494.32,55616.88,201.846407,874905.27,True,90,,False,FULL,1.00
2025-08-18 17:50:59,2025-08-18 19:20:59,ETHUSDT,LONG,4351.110000,4370.360000,0.4424,ExitD_TimeMax_Profit,SAFE,100.00,0.0737,7.3736,4100.96,55616.88,59717.84,213.037134,926948.00,True,90,,False,FULL,1.00
2025-08-18 19:21:59,2025-08-18 20:51:59,ETHUSDT,LONG,4365.460000,4365.460000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,59717.84,59717.84,227.993709,995297.42,True,90,,False,FULL,1.00
2025-08-18 20:52:59,2025-08-18 22:22:59,ETHUSDT,LONG,4336.730000,4381.140000,1.0240,ExitD_TimeMax_Profit,SAFE,100.00,0.1707,17.0674,10192.28,59717.84,69910.12,229.504123,995297.42,True,90,,False,FULL,1.00
2025-08-18 22:23:59,2025-08-18 23:53:59,ETHUSDT,LONG,4381.680000,4381.680000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,69910.12,69910.12,265.918259,1165168.72,True,90,,False,FULL,1.00
